Geneid,0,5,10,15
gene-PA2589,16.333333333333332,44.333333333333336,7.333333333333333,67.66666666666667
gene-PA1795,916.3333333333334,852.3333333333334,139.66666666666666,132.0
gene-PA2468,426.3333333333333,31.0,7.666666666666667,31.333333333333332
gene-PA4119,14.333333333333334,44.666666666666664,7.666666666666667,61.333333333333336
gene-PA2246,19.666666666666668,43.666666666666664,3.6666666666666665,24.666666666666668
gene-PA1033,23.333333333333332,49.666666666666664,7.333333333333333,42.0
gene-PA2214,8.666666666666666,75.33333333333333,8.333333333333334,102.0
gene-PA3210,26.666666666666668,120.66666666666667,14.333333333333334,87.66666666666667
gene-PA4724,44.333333333333336,105.33333333333333,9.333333333333334,60.333333333333336
gene-PA5368,6552.333333333333,218.0,8385.333333333334,297.3333333333333
gene-PA1496,18.0,47.666666666666664,5.333333333333333,39.0
gene-PA3978,57.333333333333336,77.66666666666667,139.0,277.6666666666667
gene-PA3440,46.0,61.333333333333336,11.666666666666666,33.666666666666664
gene-PA2568,68.66666666666667,63.333333333333336,11.0,18.333333333333332
gene-PA3091,149.33333333333334,109.0,16.0,65.0
gene-PA0504,29.333333333333332,56.666666666666664,466.6666666666667,34.666666666666664
gene-PA4546,243.0,141.0,2811.0,167.66666666666666
gene-PA0925,18.666666666666668,53.333333333333336,11.0,45.333333333333336
gene-PA5178,746.6666666666666,522.3333333333334,194.0,125.66666666666667
gene-PA5205,85.66666666666667,81.0,19.0,65.33333333333333
gene-PA1439,27.333333333333332,32.0,7.333333333333333,20.333333333333332
gene-PA1503,6.333333333333333,18.0,2.0,20.333333333333332
gene-PA0730,222.33333333333334,145.33333333333334,660.3333333333334,63.333333333333336
gene-PA1695,23.0,29.0,6.0,28.666666666666668
gene-PA4506,34.0,54.333333333333336,10.333333333333334,83.0
gene-PA3686,741.3333333333334,440.0,95.66666666666667,76.66666666666667
gene-PA0550,30.333333333333332,101.33333333333333,13.666666666666666,75.66666666666667
gene-PA4637,58.0,71.0,27.0,25.666666666666668
gene-PA2937,8.666666666666666,14.0,4.333333333333333,18.0
gene-PA5043,992.0,592.3333333333334,60.333333333333336,48.0
gene-PA1816,156.33333333333334,161.33333333333334,29.0,38.666666666666664
gene-PPLUZ19_gp23,11.333333333333334,1900.6666666666667,51395.666666666664,123048.33333333333
gene-PA4733,156.0,177.33333333333334,16.333333333333332,94.0
gene-PA0027,190.66666666666666,160.33333333333334,15.666666666666666,165.66666666666666
gene-PA4819,4.666666666666667,67.0,5.666666666666667,132.66666666666666
gene-PA0407,517.6666666666666,274.6666666666667,43.666666666666664,34.666666666666664
gene-PA4496,283.0,384.0,34.333333333333336,91.33333333333333
gene-PA1563,39.666666666666664,71.33333333333333,9.666666666666666,72.0
gene-PA0532,24.666666666666668,85.66666666666667,8.0,40.666666666666664
gene-PA3666,79.33333333333333,186.0,23.666666666666668,95.0
gene-PA3294,49.333333333333336,125.0,18.0,138.0
gene-PA4006,258.6666666666667,314.0,41.0,77.66666666666667
gene-PA4932,1135.6666666666667,1355.3333333333333,441.6666666666667,242.33333333333334
gene-PA5347,160.33333333333334,110.66666666666667,13.666666666666666,26.666666666666668
gene-PA2290,329.3333333333333,503.6666666666667,92.66666666666667,137.66666666666666
gene-PA3088,58.0,89.33333333333333,18.0,76.66666666666667
gene-PA0430,178.66666666666666,330.3333333333333,51.333333333333336,77.0
gene-PA4308,235.33333333333334,208.66666666666666,38.0,178.66666666666666
gene-PA0527.1,707.0,537.0,369.0,287.3333333333333
gene-PA1664,10.0,15.333333333333334,2.3333333333333335,9.0
gene-PA3738,28.666666666666668,76.33333333333333,10.333333333333334,50.333333333333336
gene-PA2029,26.333333333333332,34.666666666666664,7.333333333333333,24.0
gene-PA4085,189.33333333333334,75.66666666666667,11.0,37.333333333333336
gene-PA3760,32.0,72.0,15.0,115.0
gene-PA1501,35.333333333333336,65.66666666666667,6.666666666666667,97.33333333333333
gene-PA0771,293.6666666666667,304.0,44.0,48.0
gene-PA2611,211.0,283.3333333333333,33.666666666666664,78.66666666666667
gene-PA4300,20.333333333333332,480.6666666666667,9.333333333333334,127.0
gene-PPLUZ19_gp36,10.666666666666666,44354.666666666664,39081.0,272102.6666666667
gene-PA4008,16.333333333333332,61.0,7.0,67.66666666666667
